measurement,t_seconds,rul_seconds,rpm,torque,temp_front,temp_rear
0,0.0,53400.0,689.4166666666666,-4.270166666666667,17.471666666666668,17.338666666666665
1,600.0,52800.0,728.0,-2.940857142857143,21.143428571428576,20.918857142857146
2,1200.0,52200.0,727.7142857142857,-2.8927142857142853,23.70828571428572,23.654285714285717
3,1800.0,51600.0,783.8571428571429,-5.313000000000001,25.56842857142857,25.73185714285714
4,2400.0,51000.0,961.0,-12.225571428571428,55.73857142857143,55.392
5,3000.0,50400.0,959.7142857142857,-11.355571428571428,75.24985714285715,78.91071428571429
6,3600.0,49800.0,956.8571428571429,-13.340571428571431,91.45014285714285,96.921
7,4200.0,49200.0,961.5,-10.455428571428572,104.69099999999999,105.08742857142856
8,4800.0,48600.0,962.3571428571429,-9.825285714285714,110.27828571428572,109.3157142857143
9,5400.0,48000.0,962.9285714285714,-9.383285714285714,110.98814285714285,112.48971428571429
10,6000.0,47400.0,725.2857142857143,-1.9825714285714284,92.566,96.72542857142857
11,6600.0,46800.0,722.4285714285714,-1.9547142857142856,77.92057142857142,84.39685714285714
12,7200.0,46200.0,719.5714285714286,-1.9425714285714284,68.10671428571428,75.94385714285714
13,7800.0,45600.0,721.9285714285714,-1.9777142857142855,61.150571428571425,69.70471428571427
14,8400.0,45000.0,726.0714285714286,-2.0197142857142856,55.90785714285715,64.95857142857143
15,9000.0,44400.0,725.0714285714286,-1.9347142857142858,51.80771428571429,61.03357142857143
16,9600.0,43800.0,962.0,-11.243714285714287,73.98157142857143,77.664
17,10200.0,43200.0,961.2142857142857,-9.89557142857143,89.19557142857143,92.4832857142857
18,10800.0,42600.0,960.9285714285714,-10.020571428571428,98.78014285714286,102.891
19,11400.0,42000.0,963.2857142857143,-10.616714285714284,111.91771428571428,110.01714285714286
20,12000.0,41400.0,961.6428571428571,-9.442142857142857,116.12928571428573,114.79585714285716
21,12600.0,40800.0,961.3571428571429,-8.219999999999999,116.7812857142857,115.64357142857143
22,13200.0,40200.0,724.7142857142857,-1.6612857142857145,102.43185714285713,101.72642857142857
23,13800.0,39600.0,724.7142857142857,-1.578,86.69228571428572,88.33857142857143
24,14400.0,39000.0,723.7857142857143,-1.581,75.81828571428572,78.82571428571428
25,15000.0,38400.0,724.1428571428571,-1.5615714285714284,67.78228571428572,71.73114285714287
26,15600.0,37800.0,725.5714285714286,-1.5957142857142856,62.03042857142857,66.26371428571429
27,16200.0,37200.0,723.7142857142857,-1.6332857142857145,57.413714285714285,61.83657142857142
28,16800.0,36600.0,964.9285714285714,-9.442142857142857,72.80071428571428,65.87128571428572
29,17400.0,36000.0,966.9285714285714,-10.983142857142857,95.70571428571428,80.83185714285715
30,18000.0,35400.0,972.5714285714286,-9.251000000000001,105.32085714285714,93.51642857142858
31,18600.0,34800.0,977.25,-9.698166666666665,108.19099999999999,103.35766666666666
32,19200.0,34200.0,980.0,-9.17,111.52066666666666,112.32349999999998
33,19800.0,33600.0,976.6666666666666,-9.175166666666668,113.27916666666665,115.62683333333332
34,20400.0,33000.0,730.8333333333334,-1.6151666666666669,104.41733333333333,109.68916666666668
35,21000.0,32400.0,724.3333333333334,-1.7906666666666666,87.152,95.13183333333335
36,21600.0,31800.0,722.3333333333334,-1.7998333333333332,75.78366666666666,85.38833333333334
37,22200.0,31200.0,723.4166666666666,-1.7803333333333333,67.48033333333333,78.18516666666667
38,22800.0,30600.0,723.75,-1.6009999999999998,61.465833333333336,71.99133333333334
39,23400.0,30000.0,725.6666666666666,-1.6818333333333333,56.69183333333334,66.96249999999999
40,24000.0,29400.0,960.0,-11.762333333333332,61.66583333333333,69.42783333333334
41,24600.0,28800.0,961.4166666666666,-10.901833333333334,88.91433333333333,86.42833333333334
42,25200.0,28200.0,962.3333333333334,-9.928666666666668,101.34949999999999,99.72116666666666
43,25800.0,27600.0,960.6666666666666,-10.008666666666667,110.85200000000002,105.351
44,26400.0,27000.0,959.8333333333334,-10.2885,122.15366666666667,108.23449999999998
45,27000.0,26400.0,956.8333333333334,-8.768666666666666,132.14749999999998,107.69349999999999
46,27600.0,25800.0,718.5,-2.1493333333333333,133.3235,110.61666666666667
47,28200.0,25200.0,718.25,-2.0796666666666668,107.23133333333334,96.08833333333332
48,28800.0,24600.0,714.9166666666666,-1.9446666666666665,90.9185,86.04783333333334
49,29400.0,24000.0,721.25,-1.8685,79.60266666666668,78.34366666666666
50,30000.0,23400.0,718.4166666666666,-2.0311666666666666,71.14333333333333,72.8205
51,30600.0,22800.0,718.1666666666666,-2.027833333333333,64.61883333333334,69.00616666666666
52,31200.0,22200.0,945.1666666666666,-8.695333333333334,60.87200000000001,65.82483333333334
53,31800.0,21600.0,954.3333333333334,-11.236833333333335,96.83800000000001,79.02916666666668
