measurement,t_seconds,rul_seconds,rpm,torque,temp_front,temp_rear
0,0.0,82200.0,677.6666666666666,-3.7438333333333333,21.2685,21.054666666666666
1,600.0,81600.0,727.7142857142857,-2.8551428571428574,24.43914285714286,24.25314285714286
2,1200.0,81000.0,731.9285714285714,-2.652285714285714,26.502857142857145,26.650142857142857
3,1800.0,80400.0,793.7142857142857,-4.748285714285714,28.044285714285714,28.55242857142857
4,2400.0,79800.0,977.4285714285714,-10.598857142857144,54.82757142857143,53.82028571428571
5,3000.0,79200.0,975.4285714285714,-12.44342857142857,74.929,75.34871428571428
6,3600.0,78600.0,975.2857142857143,-14.27357142857143,95.22342857142858,92.25099999999999
7,4200.0,78000.0,978.1428571428571,-11.841857142857142,105.779,105.47657142857143
8,4800.0,77400.0,977.1428571428571,-12.160857142857143,113.9117142857143,117.00428571428573
9,5400.0,76800.0,977.7142857142857,-11.105142857142855,119.60157142857142,129.56585714285714
10,6000.0,76200.0,738.3571428571429,-2.0427142857142857,100.37814285714286,110.60214285714285
11,6600.0,75600.0,740.1428571428571,-1.946,85.08614285714285,95.95857142857142
12,7200.0,75000.0,740.8571428571429,-1.7617142857142856,74.50642857142857,85.69571428571427
13,7800.0,74400.0,740.5714285714286,-1.6368571428571432,66.69885714285715,77.91742857142857
14,8400.0,73800.0,741.0,-1.5264285714285712,61.069857142857146,71.63928571428572
15,9000.0,73200.0,741.0,-1.622714285714286,56.81214285714286,66.67514285714286
16,9600.0,72600.0,979.8571428571429,-12.561857142857141,77.13485714285716,84.76842857142857
17,10200.0,72000.0,980.1428571428571,-12.120285714285714,98.8917142857143,107.57128571428572
18,10800.0,71400.0,980.8571428571429,-12.232285714285714,110.40385714285715,121.32314285714286
19,11400.0,70800.0,982.2857142857143,-10.265,120.76442857142855,127.94557142857141
20,12000.0,70200.0,982.4285714285714,-10.132571428571428,122.68685714285714,130.5557142857143
21,12600.0,69600.0,982.7142857142857,-9.738714285714286,123.92642857142857,134.1487142857143
22,13200.0,69000.0,741.0,-1.973285714285714,110.13514285714287,120.53185714285715
23,13800.0,68400.0,741.0,-1.676142857142857,93.31128571428572,105.3
24,14400.0,67800.0,743.2857142857143,-1.6894285714285715,81.90071428571427,94.32542857142856
25,15000.0,67200.0,741.7142857142857,-1.439,73.39714285714285,86.19928571428571
26,15600.0,66600.0,741.0,-1.6087142857142855,67.34585714285713,79.72842857142858
27,16200.0,66000.0,740.4285714285714,-1.5210000000000004,62.355285714285706,74.564
28,16800.0,65400.0,976.5,-12.050857142857142,75.28057142857143,84.53985714285714
