measurement,t_seconds,rul_seconds,rpm,torque,temp_front,temp_rear
0,0.0,68400.0,680.5,-4.216166666666667,15.896499999999998,15.865333333333332
1,600.0,67800.0,734.0714285714286,-2.9374285714285717,19.612,19.14314285714286
2,1200.0,67200.0,738.2142857142857,-2.6717142857142853,22.09971428571429,20.982142857142858
3,1800.0,66600.0,792.0,-5.045428571428571,23.866857142857146,22.393428571428576
4,2400.0,66000.0,972.2857142857143,-10.133571428571429,46.15871428571428,47.96528571428571
5,3000.0,65400.0,970.5,-9.927428571428573,61.28628571428572,66.31957142857144
6,3600.0,64800.0,966.4285714285714,-10.891,72.90185714285714,80.8492857142857
7,4200.0,64200.0,962.2857142857143,-11.64257142857143,86.58542857142857,92.81814285714286
8,4800.0,63600.0,958.1428571428571,-10.785714285714288,99.42371428571428,103.11557142857143
9,5400.0,63000.0,957.7857142857143,-11.065285714285713,107.994,109.11557142857144
10,6000.0,62400.0,725.5714285714286,-1.9097142857142855,90.08357142857143,93.2492857142857
11,6600.0,61800.0,729.1428571428571,-1.8158571428571428,75.16271428571429,80.57385714285715
12,7200.0,61200.0,731.8571428571429,-1.789142857142857,65.11271428571429,71.88685714285714
13,7800.0,60600.0,734.9285714285714,-1.7931428571428571,58.07685714285714,65.58814285714287
14,8400.0,60000.0,738.2857142857143,-1.74,53.10342857142857,60.724
15,9000.0,59400.0,738.3571428571429,-1.778,49.16885714285714,56.883428571428574
16,9600.0,58800.0,979.6428571428571,-10.328999999999999,66.996,74.95328571428571
17,10200.0,58200.0,969.7857142857143,-12.133285714285714,81.679,92.72042857142858
18,10800.0,57600.0,970.2857142857143,-11.542142857142855,99.39542857142858,106.22857142857144
19,11400.0,57000.0,972.8571428571429,-9.328999999999999,103.69957142857143,113.71557142857144
20,12000.0,56400.0,971.5,-7.796,102.37428571428572,115.54114285714286
21,12600.0,55800.0,969.1428571428571,-7.919857142857144,100.00742857142858,117.144
22,13200.0,55200.0,729.7142857142857,-1.7125714285714284,88.00128571428571,104.80057142857143
23,13800.0,54600.0,727.3571428571429,-1.6818571428571427,75.05885714285715,90.6942857142857
24,14400.0,54000.0,725.7142857142857,-1.5235714285714284,65.58657142857143,80.692
25,15000.0,53400.0,727.4285714285714,-1.5951428571428572,58.42085714285714,73.16285714285713
26,15600.0,52800.0,728.2857142857143,-1.583142857142857,53.213428571428565,67.28485714285713
27,16200.0,52200.0,732.4285714285714,-1.5437142857142856,49.26685714285715,62.31671428571428
28,16800.0,51600.0,976.0,-9.297857142857143,55.846428571428575,70.68871428571427
29,17400.0,51000.0,975.0714285714286,-10.317142857142857,76.79557142857142,90.57228571428573
30,18000.0,50400.0,977.0,-8.984285714285715,80.7042857142857,104.70314285714285
31,18600.0,49800.0,979.75,-7.329000000000001,81.6855,111.56599999999999
32,19200.0,49200.0,978.3333333333334,-9.680333333333335,85.42383333333333,114.84933333333333
33,19800.0,48600.0,980.0,-9.331333333333333,90.54849999999999,121.818
34,20400.0,48000.0,733.1666666666666,-1.7825,86.524,115.4375
35,21000.0,47400.0,732.9166666666666,-1.5546666666666666,73.09049999999999,97.28333333333332
36,21600.0,46800.0,732.8333333333334,-1.5999999999999999,63.96533333333333,84.9585
37,22200.0,46200.0,727.9166666666666,-1.5671666666666668,57.7125,76.18
